Max,Min,Mean
1.39552440308,0.0,0.790317502627
1.38852634417,0.0,0.530502923537
1.67202001442,0.0,0.786345588382
2.11061105013,0.0,1.16835081614
2.22714562293,0.0,1.26949558437
2.2818478851,0.0,1.33137859446
2.42338653778,0.0,1.48824787162
2.3558901076,0.0,1.39507104461
2.47276600732,0.0,1.48307907339
2.49865718678,0.0,1.51072908439
2.56938800636,0.0,1.57956278639
2.78569752399,0.0,1.79306080026
2.72335928173,0.0,1.72791261586
2.8788243242,0.0,1.88511964012
3.15219925824,0.0,2.15360955579
2.94698739719,0.0,1.94864246289
2.90042917121,0.0,1.90097049056
3.13477626938,0.0,2.13546109985
3.03309430924,0.0,2.03352650413
3.200574211,0.0,2.20084271105
3.12688325626,0.0,2.12718641397
3.45595808043,0.0,2.45599540578
3.48389912474,0.0,2.48394330656
3.65510246161,0.0,2.65511691709
3.82243289873,0.0,2.82244837329
3.79016176103,0.0,2.79018112617
3.71985521252,0.0,2.71986764385
3.79165363766,0.0,2.79166944549
3.77858269218,0.0,2.7786005698
3.95941460364,0.0,2.95942841608
3.99669535058,0.0,2.99670918611
4.11698619511,0.0,3.11700186915
4.21101315514,0.0,3.21102649365
4.38040290164,0.0,3.38042077564
4.43609905097,0.0,3.43611699104
4.74170735681,0.0,3.7417293368
4.99466439168,0.0,3.99469338968
5.04858488925,0.0,4.04861817344
4.89737605383,0.0,3.89741099542
5.00763318015,0.0,4.00767684092
5.71521028153,0.0,4.7152667353
5.48351794992,0.0,4.48357620426
6.11744976846,0.0,5.11749965369
6.20273847197,0.0,5.20280066515
6.35573573519,0.0,5.35581033787
6.34835557849,0.0,5.34844108997
6.45639511283,0.0,5.45649250086
6.19608456111,0.0,5.1961967814
6.73530151909,0.0,5.73545633317
7.50220870413,0.0,6.50241469753
7.51084395298,0.0,6.51107426548
7.28050002689,0.0,6.28075408009
7.73758070137,0.0,6.7379235207
7.86412860337,0.0,6.86451651354
8.4042438583,0.0,7.40475692863
8.47138685137,0.0,7.47201461762
9.07402752867,0.0,8.07475690987
8.21779927039,0.0,7.21868878279
8.54278658216,0.0,7.54366117756
9.26402822323,0.0,8.26511399124
9.13090361902,0.0,8.13220375971
8.81457760132,0.0,7.81604652587
8.91595399768,0.0,7.91764661973
9.59045922667,0.0,8.59257918901
10.1739793894,0.0,9.17657708785
10.451486095,0.0,9.45456931024
11.2301335804,0.0,10.2337562802
11.0218654287,0.0,10.0263509656
11.0635444483,0.0,10.0687299517
12.3167913219,0.0,11.3237154694
12.5929289512,0.0,11.6016899406
13.9865552148,0.0,12.9975573127
12.7475615139,0.0,11.7609335242
12.8190070584,0.0,11.8383831873
14.3015784236,0.0,13.3253118239
11.2514256851,0.0,10.2792929164
8.27127746183,0.0,7.30307804098
8.16882447126,0.0,7.20799228851
6.87425064984,0.0,5.91818078259
6.35278162606,0.0,5.4013229837
6.01428519028,0.0,5.07321959182
5.51160545177,0.0,4.57916842898
5.15159960294,0.0,4.21906024685
4.43129688746,0.0,3.48348701822
3.12119167221,0.0,2.17803833335
2.83448953016,0.0,1.85513725207
2.64084535404,0.0,1.66332074605
2.67816942233,0.0,1.69707026082
2.47529818587,0.0,1.49633364303
2.42944763735,0.0,1.43433837191
2.43625183095,0.0,1.44313126521
2.29055919282,0.0,1.2766144601
2.36620334063,0.0,1.30696531893
2.2758526,0.0,1.21202657831
2.26224510966,0.0,1.18589703974
2.28593402028,0.0,1.1643676545
2.41500273823,0.0,1.25150467361
2.64663279413,0.0,1.41866813782
2.80224767314,0.0,1.54423708409
2.6365171304,0.0,1.35902867566
2.82865923226,0.0,1.50139773602
2.78125255967,0.0,1.36224816157
2.87737948037,0.0,1.37331406448
3.09564565399,0.0,1.45165815736
3.3251686081,0.0,1.59081521945
3.46754155886,0.0,1.65181160581
3.66025890388,0.0,1.74046920852
3.69785570818,0.0,1.6522200655
4.18699790267,0.0,1.94846773028
4.55013353836,0.0,2.05784866391
5.32243029239,0.0,2.40585783137
5.85146940659,0.0,2.60137239517
6.93598355366,0.0,3.12118341205
8.55878733055,0.0,3.81667857821
10.4887184307,0.0,4.52333689197
14.5363967984,0.0,6.18429318059
38.6067601492,0.0,16.5652758353
9.18545702464,-97.8979941428,-38.0877434376
15.6787298485,-97.8979941428,-35.4791720861
20.5346656002,-97.8979941428,-33.7414293659
34.5970153848,-97.8979941428,-28.4400273603
65.1335037033,-97.8979941428,-16.9624909994
72.8783369205,-97.8979941428,-15.67703432
19.9766007734,-306.629080575,-107.7514508
28.4207983932,-306.629080575,-104.989860534
10.039708961,-341.622466255,-124.429104063
17.031881892,-341.622466255,-121.381536952
86.3158218069,-341.622466255,-92.9863918866
10.412662121,-961.033787873,-373.437122352
18.1532602455,-961.033787873,-370.032745304
25.273074472,-961.033787873,-367.10017564
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
0.0,-1046.21540183,-413.197855805
