Average
1258.67452951
46.7815955142
8.46872865907
3.69343298948
1.25529781722
1.13205403643
0.293735500009
0.198293051732
0.073425419932
0.0629061234485
0.0558111524597
0.0241707240015
0.020052855224
0.0143048989234
0.00278579536903
0.00192860045316
0.000303551253781
0.00030297772289
0.00030297772289
0.00023413830254
0.000164690974654
0.000164690974654
0.000140920452058
0.000103642267961
3.46786503728e-05
2.10873287345e-05
1.08887841481e-05
1.08887841481e-05
8.35978341466e-06
3.22523137265e-06
3.1141176735e-06
2.16148720381e-07
1.99353388813e-07
4.94290056327e-08
4.02351574523e-08
4.02351574523e-08
4.02351574523e-08
1.34342408573e-08
1.17350178438e-08
1.02544472093e-08
9.92210003602e-09
1.61018530343e-09
1.35583118432e-09
4.04416304524e-10
4.04416304524e-10
4.04348942162e-10
4.01032412545e-10
4.01032412545e-10
1.32425194678e-10
1.30876528533e-10
1.30876528533e-10
1.29664607441e-10
1.04984950715e-10
5.57200822709e-11
3.46285638686e-11
2.01509412275e-11
2.01300799711e-11
1.42284343407e-11
1.42284343407e-11
1.37653888992e-12
4.79782897116e-13
4.7625095814e-13
4.36433652939e-13
4.27290326169e-13
2.71522553195e-13
2.71522553195e-13
2.00030143747e-13
2.00030143747e-13
9.49264980893e-14
4.10214457133e-14
4.10214457133e-14
6.00894008878e-15
5.84279501487e-15
5.83889655917e-15
5.38052402241e-15
3.07197580893e-15
2.46995197132e-15
1.10552675117e-15
8.04636112811e-16
7.81100223804e-16
6.9897346806e-16
6.98191215674e-16
1.30717121626e-16
1.30717121626e-16
7.51921772289e-17
1.95319024694e-17
1.15291302101e-17
1.15291302101e-17
9.63528441729e-18
3.71187676055e-18
2.33095318285e-18
2.33095318285e-18
1.3503906157e-18
4.53323144296e-19
3.35465568726e-19
3.3048542233e-19
3.18993013904e-19
6.20862624757e-20
5.57757833239e-20
5.57757833239e-20
3.35145590082e-20
2.24875548934e-20
1.21268285468e-20
9.73757150713e-21
9.73757150713e-21
2.31812522706e-21
1.13557152277e-21
1.13017692971e-21
1.13017692971e-21
9.20547777601e-22
5.02859017095e-22
3.65995596077e-22
3.63297466898e-22
3.36314279413e-22
3.36296039894e-22
5.07909187448e-23
2.44447345935e-23
1.47233867594e-23
